T/V,N,NB,P,Q,Time,Gflops
WR11C2R4,120000,50,3,16,2301.53,5.005e+02
WR11C2R4,120000,50,4,12,2267.11,5.081e+02
WR11C2R4,120000,50,6,8,2267.92,5.080e+02
WR11C2R4,120000,50,8,6,2254.41,5.110e+02
WR11C2R4,120000,100,3,16,1851.53,6.222e+02
WR11C2R4,120000,100,4,12,1840.43,6.260e+02
WR11C2R4,120000,100,6,8,1829.61,6.297e+02
WR11C2R4,120000,100,8,6,1839.18,6.264e+02
WR11C2R4,120000,150,3,16,1900.68,6.061e+02
WR11C2R4,120000,150,4,12,1884.19,6.114e+02
WR11C2R4,120000,150,6,8,1879.91,6.128e+02
WR11C2R4,120000,150,8,6,1873.86,6.148e+02
WR11C2R4,120000,200,3,16,1908.09,6.038e+02
WR11C2R4,120000,200,4,12,1877.30,6.137e+02
WR11C2R4,120000,200,6,8,1850.03,6.227e+02
WR11C2R4,120000,200,8,6,1847.31,6.236e+02
WR11C2R4,120000,250,3,16,1894.84,6.080e+02
WR11C2R4,120000,250,4,12,1864.49,6.179e+02
WR11C2R4,120000,250,6,8,1844.53,6.246e+02
WR11C2R4,120000,250,8,6,1846.39,6.239e+02
WR11C2R4,120000,300,3,16,1943.68,5.927e+02
WR11C2R4,120000,300,4,12,1911.25,6.028e+02
WR11C2R4,120000,300,6,8,1913.86,6.019e+02
WR11C2R4,120000,300,8,6,1887.58,6.103e+02
