T/V,N,NB,P,Q,Time,Gflops
WR11C2R4,50000,50,3,16,1733.49,4.807e+01
WR11C2R4,50000,50,4,12,1709.69,4.874e+01
WR11C2R4,50000,50,6,8,1636.57,5.092e+01
WR11C2R4,50000,50,8,6,1580.54,5.273e+01
WR11C2R4,50000,100,3,16,1783.14,4.674e+01
WR11C2R4,50000,100,4,12,1762.97,4.727e+01
WR11C2R4,50000,100,6,8,1736.74,4.798e+01
WR11C2R4,50000,100,8,6,1713.64,4.863e+01
WR11C2R4,50000,150,3,16,1809.54,4.605e+01
WR11C2R4,50000,150,4,12,1794.86,4.643e+01
WR11C2R4,50000,150,6,8,1780.40,4.681e+01
WR11C2R4,50000,150,8,6,1775.01,4.695e+01
WR11C2R4,50000,200,3,16,1842.28,4.524e+01
WR11C2R4,50000,200,4,12,1823.97,4.569e+01
WR11C2R4,50000,200,6,8,1815.30,4.591e+01
WR11C2R4,50000,200,8,6,1820.32,4.578e+01
WR11C2R4,50000,250,3,16,1882.76,4.426e+01
WR11C2R4,50000,250,4,12,1853.01,4.497e+01
WR11C2R4,50000,250,6,8,1837.87,4.534e+01
WR11C2R4,50000,250,8,6,1867.97,4.461e+01
WR11C2R4,50000,300,3,16,1901.56,4.383e+01
WR11C2R4,50000,300,4,12,1873.03,4.449e+01
WR11C2R4,50000,300,6,8,1859.71,4.481e+01
WR11C2R4,50000,300,8,6,1881.82,4.429e+01
