Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts
23:56:57,94.6,0.0,5.4,0.0,0.0,49,242,48544,242.65,
23:56:57,94.6,0.0,5.4,0.0,0.0,49,76,48062,255.34,
23:56:58,94.5,0.0,5.5,0.0,0.0,49,274,48100,255.30,
23:56:58,94.7,0.0,5.3,0.0,0.0,49,100,48108,255.85,
23:56:59,94.6,0.0,5.4,0.0,0.0,49,120,48054,256.08,
23:56:59,94.5,0.0,5.5,0.0,0.0,49,96,48110,252.21,
23:57:00,94.5,0.0,5.5,0.0,0.0,49,160,48152,250.92,
23:57:00,94.5,0.0,5.5,0.0,0.0,49,148,48056,249.08,
23:57:01,94.4,0.0,5.6,0.0,0.0,49,260,48110,249.55,
23:57:01,94.2,0.0,5.8,0.0,0.0,49,72,48068,249.17,
23:57:02,94.3,0.0,5.7,0.0,0.0,49,150,48144,249.07,
23:57:02,94.2,0.0,5.8,0.0,0.0,49,76,48056,249.05,
23:57:03,94.2,0.0,5.8,0.0,0.0,49,124,48060,249.52,
23:57:03,94.2,0.0,5.8,0.0,0.0,49,96,48104,249.22,
23:57:04,94.2,0.0,5.8,0.0,0.0,49,342,48242,249.34,
23:57:04,94.5,0.0,5.5,0.0,0.0,49,176,48114,249.37,
23:57:05,94.4,0.0,5.6,0.0,0.0,49,268,48122,249.06,
23:57:05,94.4,0.0,5.6,0.0,0.0,49,68,48058,249.10,
23:57:06,94.3,0.0,5.7,0.0,0.0,49,160,48142,249.47,
23:57:06,94.3,0.0,5.7,0.0,0.0,49,76,48062,249.04,
23:57:07,94.5,0.0,5.5,0.0,0.0,49,142,48120,249.28,
23:57:07,90.9,0.0,9.1,0.0,0.0,49,658,48234,244.38,
23:57:08,100.0,0.0,0.0,0.0,0.0,49,194,48058,242.01,
23:57:08,100.0,0.0,0.0,0.0,0.0,49,246,48130,241.93,
23:57:09,100.0,0.0,0.0,0.0,0.0,49,284,48466,241.62,
23:57:09,98.5,0.0,1.5,0.0,0.0,49,122,47968,243.63,
23:57:10,98.5,0.0,1.5,0.0,0.0,49,198,48156,242.70,
23:57:10,99.9,0.0,0.1,0.0,0.0,49,78,48016,242.99,
23:57:11,100.0,0.0,0.0,0.0,0.0,49,210,48064,243.30,
23:57:11,100.0,0.0,0.0,0.0,0.0,49,106,48062,242.89,
23:57:12,97.7,0.0,2.3,0.0,0.0,49,224,48624,243.61,
23:57:12,100.0,0.0,0.0,0.0,0.0,49,156,48060,245.57,
23:57:13,100.0,0.0,0.0,0.0,0.0,49,288,48064,244.79,
23:57:13,100.0,0.0,0.0,0.0,0.0,49,88,48116,244.97,
23:57:14,99.3,0.0,0.7,0.0,0.0,49,350,48182,244.44,
23:57:14,98.9,0.0,1.1,0.0,0.0,49,92,48532,244.61,
23:57:15,100.0,0.0,0.0,0.0,0.0,50,190,48072,244.99,
23:57:15,100.0,0.0,0.0,0.0,0.0,49,74,48010,245.50,
23:57:16,100.0,0.0,0.0,0.0,0.0,49,182,48100,244.95,
23:57:16,98.2,0.0,1.8,0.0,0.0,49,204,48026,243.74,
23:57:17,100.0,0.0,0.0,0.0,0.0,50,306,48078,245.49,
23:57:17,100.0,0.0,0.0,0.0,0.0,49,82,48014,245.08,
23:57:18,100.0,0.0,0.0,0.0,0.0,49,190,48044,245.50,
23:57:18,99.1,0.0,0.9,0.0,0.0,49,138,48068,244.65,
23:57:19,99.1,0.0,0.9,0.0,0.0,49,156,48162,245.17,
23:57:19,100.0,0.0,0.0,0.0,0.0,49,96,48108,245.56,
23:57:20,100.0,0.0,0.0,0.0,0.0,49,144,48096,245.59,
23:57:20,100.0,0.0,0.0,0.0,0.0,49,156,48060,245.27,
23:57:21,98.3,0.0,1.7,0.0,0.0,49,280,48122,244.30,
23:57:21,100.0,0.0,0.0,0.0,0.0,49,72,48058,245.94,
23:57:22,100.0,0.0,0.0,0.0,0.0,49,158,48148,245.54,
23:57:22,100.0,0.0,0.0,0.0,0.0,49,96,48108,245.74,
23:57:23,99.2,0.0,0.8,0.0,0.0,49,128,48068,245.03,
