Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts
02:29:12,2.7,0.0,0.6,96.8,0.0,4,6830,4710,96.32,
02:29:12,5.9,0.0,0.5,93.7,0.0,4,620,4048,123.00,
02:29:13,6.1,0.0,0.2,93.7,0.0,4,644,3998,132.56,
02:29:13,6.1,0.0,0.3,93.7,0.0,5,948,4284,132.97,
02:29:14,6.0,0.0,0.3,93.7,0.0,4,970,4112,132.03,
02:29:14,6.0,0.0,0.5,93.5,0.0,4,1770,4842,129.12,
02:29:15,5.6,0.0,0.5,93.9,0.0,7,3706,5260,110.87,
02:29:15,11.5,0.0,1.0,87.5,0.0,8,144,6774,129.44,
02:29:16,11.9,0.0,0.7,87.4,0.0,7,282,6856,158.04,
02:29:16,12.2,0.0,0.3,87.5,0.0,7,486,7026,165.68,
02:29:17,12.3,0.0,0.2,87.5,0.0,7,368,7200,166.56,
02:29:17,12.3,0.0,0.3,87.4,0.0,8,484,7110,166.22,
02:29:18,12.3,0.0,0.3,87.4,0.0,7,312,7234,166.62,
02:29:18,12.3,0.0,0.2,87.5,0.0,7,356,7306,167.05,
02:29:19,12.2,0.0,0.3,87.5,0.0,7,316,7270,167.24,
02:29:19,12.3,0.0,0.3,87.4,0.0,8,346,7284,167.33,
02:29:20,12.3,0.0,0.3,87.5,0.0,7,342,7164,168.17,
02:29:20,12.3,0.0,0.3,87.4,0.0,7,400,7224,167.76,
02:29:21,12.2,0.0,0.3,87.5,0.0,7,404,7344,167.37,
02:29:21,12.3,0.0,0.3,87.4,0.0,8,534,7432,167.09,
02:29:22,12.3,0.0,0.3,87.3,0.0,7,1620,7508,161.95,
02:29:22,12.3,0.0,0.3,87.4,0.0,7,488,7324,157.41,
02:29:23,12.2,0.0,0.4,87.5,0.0,7,400,7214,157.31,
02:29:23,12.1,0.0,0.5,87.4,0.0,7,508,7318,157.22,
02:29:24,12.2,0.0,0.3,87.4,0.0,7,476,7342,156.92,
02:29:24,12.2,0.0,0.4,87.4,0.0,7,560,7378,157.17,
02:29:25,12.1,0.0,0.5,87.4,0.0,7,644,7442,157.94,
02:29:25,12.2,0.0,0.4,87.4,0.0,8,890,7608,164.84,
02:29:26,12.1,0.0,0.5,87.4,0.0,7,910,7576,164.01,
02:29:26,12.0,0.0,0.7,87.3,0.0,7,1404,7926,160.72,
02:29:27,12.1,0.0,0.7,87.2,0.0,7,3712,8638,148.89,
02:29:27,12.2,0.0,0.1,87.7,0.0,2,240,7220,133.21,
02:29:28,20.8,0.0,2.0,77.2,0.0,13,2836,13540,155.31,
02:29:28,23.2,0.0,1.7,75.0,0.0,13,88,12960,169.09,
02:29:29,23.7,0.0,1.3,75.0,0.0,13,464,13282,172.78,
02:29:29,24.5,0.0,0.5,75.0,0.0,13,352,13290,177.41,
02:29:30,24.7,0.0,0.4,75.0,0.0,13,112,13146,177.29,
02:29:30,24.7,0.0,0.3,74.9,0.0,14,182,13190,177.93,
02:29:31,24.7,0.0,0.3,75.0,0.0,13,118,13142,176.06,
02:29:31,24.5,0.0,0.5,75.0,0.0,13,164,13006,177.09,
02:29:32,26.9,0.0,0.9,72.2,0.0,13,36568,18336,178.45,
02:29:32,24.6,0.0,0.5,74.9,0.0,13,306,13550,175.75,
02:29:33,24.7,0.0,0.3,75.0,0.0,13,168,13146,178.46,
02:29:33,24.7,0.0,0.3,75.0,0.0,13,314,13280,177.91,
02:29:34,24.6,0.0,0.4,75.0,0.0,13,144,13164,178.41,
02:29:34,24.5,0.0,0.5,75.0,0.0,13,180,13170,177.02,
02:29:35,24.4,0.0,0.6,75.0,0.0,13,112,13156,177.82,
02:29:35,24.7,0.0,0.3,75.0,0.0,14,168,13156,176.12,
02:29:36,24.6,0.0,0.5,74.9,0.0,13,138,13148,177.25,
02:29:36,24.7,0.0,0.3,75.0,0.0,13,168,13154,176.86,
02:29:37,24.6,0.0,0.5,75.0,0.0,13,186,13194,179.00,
02:29:37,24.4,0.0,0.7,75.0,0.0,14,304,13282,179.09,
02:29:38,24.7,0.0,0.3,74.9,0.0,13,146,13164,177.97,
02:29:38,24.7,0.0,0.3,75.0,0.0,13,192,13210,179.00,
02:29:39,24.7,0.0,0.4,74.9,0.0,13,140,13176,177.88,
02:29:39,24.6,0.0,0.5,75.0,0.0,14,252,13230,178.85,
02:29:40,24.6,0.0,0.5,74.9,0.0,13,142,13158,178.89,
02:29:40,24.6,0.0,0.5,75.0,0.0,13,206,13232,176.52,
02:29:41,24.7,0.0,0.3,75.0,0.0,13,248,13324,178.47,
02:29:41,24.6,0.0,0.5,74.9,0.0,14,318,13348,178.47,
02:29:42,24.6,0.0,0.5,74.9,0.0,13,1316,13380,178.30,
02:29:42,24.4,0.0,0.6,75.0,0.0,13,274,13030,176.83,
02:29:43,24.7,0.0,0.4,74.9,0.0,13,148,12962,177.30,
02:29:43,24.6,0.0,0.4,75.0,0.0,14,150,13084,177.53,
02:29:44,24.5,0.0,0.5,75.0,0.0,13,200,13222,178.81,
02:29:44,24.6,0.0,0.4,75.0,0.0,13,274,13346,178.33,
02:29:45,24.5,0.0,0.5,74.9,0.0,13,166,13160,179.19,
02:29:45,24.7,0.0,0.3,75.0,0.0,14,306,13258,177.41,
02:29:46,24.7,0.0,0.3,75.0,0.0,13,106,13124,179.05,
02:29:46,24.5,0.0,0.6,75.0,0.0,13,190,13184,178.13,
02:29:47,24.5,0.0,0.5,75.0,0.0,13,114,13142,178.78,
02:29:47,24.6,0.0,0.4,75.0,0.0,14,150,13140,177.76,
02:29:48,24.8,0.0,0.3,74.9,0.0,13,118,13174,177.85,
02:29:48,24.6,0.0,0.4,75.0,0.0,13,192,13162,177.95,
02:29:49,24.5,0.0,0.6,74.9,0.0,13,170,13166,179.48,
02:29:49,24.6,0.0,0.5,75.0,0.0,14,298,13274,177.25,
02:29:50,24.6,0.0,0.4,75.0,0.0,13,120,13132,177.88,
02:29:50,24.6,0.0,0.4,75.0,0.0,13,160,13148,177.17,
02:29:51,24.6,0.0,0.5,74.9,0.0,13,118,13146,177.19,
02:29:51,24.6,0.0,0.4,75.0,0.0,14,138,13132,177.69,
02:29:52,24.6,0.0,0.5,74.9,0.0,13,1340,13502,176.70,
02:29:52,24.6,0.0,0.5,74.9,0.0,13,282,13290,177.48,
02:29:53,24.5,0.0,0.5,75.0,0.0,13,166,13162,179.29,
