Processes,Global_nx,Global_ny,Global_nz,npx,npy,npz,Gflops
24,208,416,312,2,4,3, 14.744
24,48,96,72,2,4,3, 16.8701
24,64,128,96,2,4,3, 14.9709
24,80,160,120,2,4,3, 15.4337
24,96,192,144,2,4,3, 15.1008
24,112,224,168,2,4,3, 14.9782
24,128,256,192,2,4,3, 15.0164
24,144,288,216,2,4,3, 14.8738
24,160,320,240,2,4,3, 14.8666
24,32,64,48,2,4,3, 24.8624
24,192,384,288,2,4,3, 14.8116
24,224,448,336,2,4,3, 14.8695
24,240,480,360,2,4,3, 14.7259
24,256,512,384,2,4,3, 14.7371
24,272,544,408,2,4,3, 14.7868
24,288,576,432,2,4,3, 14.5443
24,304,608,456,2,4,3, 14.6111
24,320,640,480,2,4,3, 14.4991
24,32,64,48,2,4,3, 25.1844
