Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts
13:45:28,35.3,0.0,14.8,50.0,0.0,25,132,24892,230.25,
13:45:29,47.4,0.0,2.7,49.9,0.0,25,208,24842,204.15,
13:45:29,50.1,0.0,0.1,49.9,0.0,26,1650,25506,216.86,
13:45:30,49.9,0.0,0.2,49.9,0.0,25,352,25622,216.85,
13:45:30,48.4,0.0,1.6,50.0,0.0,25,84,24852,216.99,
13:45:31,47.4,0.0,2.6,50.0,0.0,25,136,25174,210.53,
13:45:31,49.1,0.0,1.0,50.0,0.0,26,96,25018,206.17,
13:45:32,49.2,0.0,0.8,50.0,0.0,25,78,24940,205.95,
13:45:32,49.0,0.0,1.0,50.0,0.0,25,86,24840,204.99,
13:45:33,49.1,0.0,1.0,49.9,0.0,25,156,25196,204.97,
13:45:33,49.0,0.0,1.0,50.0,0.0,25,210,25144,205.17,
13:45:34,49.2,0.0,0.8,50.0,0.0,25,76,25158,204.06,
13:45:34,49.0,0.0,1.0,50.0,0.0,25,84,25056,203.96,
13:45:35,49.3,0.0,0.8,49.9,0.0,25,80,25144,203.80,
13:45:35,49.1,0.0,0.9,50.0,0.0,25,90,25088,203.82,
13:45:36,49.3,0.0,0.8,49.9,0.0,25,76,25150,202.92,
13:45:36,45.2,0.0,4.8,50.0,0.0,25,140,25226,213.30,
13:45:37,50.0,0.0,0.0,49.9,0.0,25,154,25202,210.46,
13:45:37,41.9,0.0,8.1,50.0,0.0,25,204,25150,228.08,
13:45:38,48.1,0.0,2.0,49.9,0.0,25,100,25026,247.63,
13:45:38,48.5,0.0,1.5,50.0,0.0,25,82,24850,243.27,
13:45:39,46.2,0.0,3.8,49.9,0.0,25,76,24946,240.25,
13:45:39,48.9,0.0,1.3,49.9,0.0,25,1348,25246,240.03,
13:45:40,49.3,0.0,0.7,50.0,0.0,25,80,25150,238.37,
13:45:40,48.6,0.0,1.4,50.0,0.0,25,132,25142,242.36,
13:45:41,47.9,0.0,2.2,49.9,0.0,25,232,25380,244.38,
13:45:41,49.4,0.0,0.6,50.0,0.0,25,208,25152,242.08,
13:45:42,49.5,0.0,0.5,50.0,0.0,25,76,25152,245.71,
13:45:42,49.4,0.0,0.6,50.0,0.0,25,84,25060,243.17,
13:45:43,49.7,0.0,0.4,49.9,0.0,25,76,25150,245.32,
13:45:43,49.8,0.0,0.2,50.0,0.0,25,88,25098,244.01,
13:45:44,49.9,0.0,0.2,49.9,0.0,25,100,25024,245.20,
13:45:44,49.9,0.0,0.1,50.0,0.0,25,122,25016,244.32,
13:45:45,47.0,0.0,3.0,49.9,0.0,25,204,25046,245.91,
13:45:45,48.1,0.0,2.0,50.0,0.0,25,228,25228,235.37,
