T/V,N,NB,P,Q,Time,Gflops
WR11C2R4,20000,10,6,1,630.54,8.459e+00
WR11C2R4,20000,11,6,1,672.78,7.928e+00
WR11C2R4,20000,12,6,1,697.51,7.647e+00
WR11C2R4,20000,13,6,1,699.79,7.622e+00
WR11C2R4,20000,14,6,1,704.51,7.571e+00
WR11C2R4,20000,15,6,1,699.53,7.625e+00
WR11C2R4,20000,16,6,1,689.63,7.734e+00
WR11C2R4,20000,17,6,1,695.23,7.672e+00
WR11C2R4,20000,18,6,1,692.04,7.708e+00
WR11C2R4,20000,19,6,1,687.40,7.760e+00
WR11C2R4,20000,20,6,1,682.39,7.817e+00
WR11C2R4,20000,21,6,1,674.99,7.902e+00
WR11C2R4,20000,22,6,1,703.64,7.580e+00
WR11C2R4,20000,23,6,1,702.15,7.597e+00
WR11C2R4,20000,24,6,1,708.82,7.525e+00
WR11C2R4,20000,25,6,1,717.20,7.437e+00
